Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha),Temperatura
2013,CALDAS,PLATANO,"20510,43","227889,05","11,11","7,09","5,38",19.6
2013,RISARALDA,FRIJOL,"511,1","635,69","1,24","0,63","0,58","20,5"
2013,RISARALDA,BANANO,"222,3",4638,"20,86","1,63","0,77","20,5"
2013,RISARALDA,PLATANO,"19531,1","165629,73","8,48","5,15","5,13","20,5"
2013,RISARALDA,AGUACATE,"1237,3","14832,58","11,99","5,03","3,86","20,5"
2013,RISARALDA,CACAO,"1163,9","935,48","0,8","1,2","0,78","20,5"
2013,RISARALDA,YUCA,142,"2832,3","19,95","0,13","0,07","20,5"
2013,RISARALDA,CAÑA PANELERA,"3831,6","27396,66","7,15","2,05","1,8","20,5"
2013,ANTIOQUIA,AGUACATE,"4826,1",46584,"9,65","15,79","15,04",22.6
2013,CALDAS,AGUACATE,"3613,81","32771,72","9,07","11,11","11,26",19.6
2013,RISARALDA,FLORES Y FOLLAJES,"83,52","1680,41","20,12","39,99","19,78","20,5"
2013,ANTIOQUIA,CACAO,13782,"7724,87","0,56","9,9","9,18",22.6
2013,CALDAS,CACAO,"2051,12","1353,05","0,66","1,73","1,37",19.6
2013,ANTIOQUIA,YUCA,"8715,5","117308,9","13,46","5,32","4,19",22.6
2013,CALDAS,YUCA,"1192,9","19652,8","16,47","0,89","0,57",19.6
2013,ANTIOQUIA,CAÑA PANELERA,"38299,5","161216,6","4,21","12,03","17,98",22.6
2013,CALDAS,CAÑA PANELERA,11563,52664,"4,55","3,93","5,43",19.6
2013,ANTIOQUIA,FLORES Y FOLLAJES,23,"89,5","3,89","2,13","5,45",22.6
2013,CALDAS,FLORES Y FOLLAJES,"48,4","171,9","3,55","4,09","11,46",19.6
2014,CALDAS,FRIJOL,"1425,4","2767,02","1,94","2,42","1,55",19.8
2014,ANTIOQUIA,BANANO,"804,5","6153,8","7,65","2,21","2,96",22.8
2014,CALDAS,BANANO,552,"6917,6","12,53","2,49","2,03",19.8
2014,ANTIOQUIA,PLATANO,"45718,8","330658,38","7,23","9,84","11,83",22.8
2014,CALDAS,PLATANO,20196,217261,"10,76","6,46","5,22",19.8
2014,ANTIOQUIA,AGUACATE,"4850,6","46599,63","9,61","16,14","14,05",22.8
2014,CALDAS,AGUACATE,"3870,1","36740,7","9,49","12,72","11,21",19.8
2014,RISARALDA,FRIJOL,"513,5","719,87","1,4","0,63","0,56","20,6"
2014,RISARALDA,BANANO,253,4774,"18,87","1,72","0,93","20,6"
2014,RISARALDA,PLATANO,"18540,5","172914,2","9,33","5,15","4,8","20,6"
2014,RISARALDA,AGUACATE,1270,"15699,2","12,36","5,44","3,68","20,6"
2014,RISARALDA,CACAO,1200,"956,1","0,8","1,18","0,78","20,6"
2014,RISARALDA,YUCA,197,5980,"30,36","0,32","0,11","20,6"
2014,RISARALDA,CAÑA PANELERA,"3576,09","26108,11","7,3","2,13","1,75","20,6"
2014,RISARALDA,FLORES Y FOLLAJES,91,"3150,3","34,62","50,93","20,61","20,6"
2014,ANTIOQUIA,CACAO,"14888,8","8790,02","0,59","10,81","9,64",22.8
2014,CALDAS,CACAO,"1738,4","1085,39","0,62","1,34","1,13",19.8
2014,ANTIOQUIA,YUCA,"8364,3","117087,6",14,"6,18","4,64",22.8
2014,CALDAS,YUCA,"510,7","8452,8","16,55","0,45","0,28",19.8
2014,ANTIOQUIA,CAÑA PANELERA,"37210,9","158785,81","4,27","12,95","18,25",22.8
